Species_Name	NCBI_Accession_Number
Homo_sapiens	NC_012920
Caenorhabditis_elegans	NC_001328
Drosophila_melanogaster	NC_024511
Xenopus_tropicalis	NC_006839.1
Danio_rerio	NC_002333.2
Mus_musculus	NC_005089.1
Didelphis_virginiana	NC_001610
Struthio_camelus	NC_002785.1
Rhea_americana	NC_000846.1
Pelomedusa_subrufa	NC_001947.1
Alligator_mississippiensis	NC_001922.1
Dinodon_semicarinatus	NC_001945.1
Vidua_chalybeata	NC_000880.1
Falco_peregrinus	NC_000878
Smithornis_sharpei	NC_000879.1
Branchiostoma_lanceolatum	NC_000834
Branchiostoma_floridae	NC_001912
Aythya_americana	NC_000877.1
Gallus_gallus	NC_001323
Ornithorhynchus_anatinus	NC_000891
Balanoglossus_carnosus	NC_001887.1
Sphenodon_punctatus	NC_004815.1
Crocodylus_porosus	NC_008143.1
Python_bivittatus	NC_021479.1
Boa_constrictor	NC_007398
Gloydius_blomhoffii	NC_011390.1
Lithobates_catesbeianus	NC_022696.1
Fejervarya_limnocharis	NC_005055.1
Bipes_biporus	NC_006287.1
Cucumaria_miniata	NC_005929.1
Parastichopus_californicus	NC_026727.1
Artemia_franciscana	NC_001620.1
Daphnia_pulex	NC_000844
Apis_mellifera	NC_001566
Florometra_serratissima	NC_001878.1
Strongylocentrotus_purpuratus	NC_001453
Pisaster_ochraceus	NC_042741.1
Asterias_amurensis	NC_006665.1
Ophiopholis_aculeata	NC_005334.1
Rhipicephalus_sanguineus	NC_002074
Speleonectes_tulumensis	NC_005938.1
Homarus_americanus	NC_015607.1
Anopheles_gambiae	NC_002084
Aedes_albopictus	NC_006817
Locusta_migratoria	NC_001712
Katharina_tunicata	NC_001636
Mytilus_edulis	NC_006161
Loligo_bleekeri	NC_002507.1
Cepaea_nemoralis	U23045.1
Albinaria_coerulea	NC_001761.1
Lumbricus_terrestris	NC_001673
Platynereis_dumerilii	NC_000931.1
Urechis_caupo	NC_006379.1
Ascaris_suum	NC_001327
Onchocerca_volvulus	NC_001861
Meloidogyne_javanica	NC_026556.1
Fasciola_hepatica	NC_002546
Romanomermis_culicivorax	NC_008640.1